bank_code,bank_name,branch_code,branch_name,full_name,county_code,county_name
01,Kenya Commercial Bank Limited,01 161,Ongata Rongai,"Kenya Commercial Bank Limited, Ongata Rongai",47,Nairobi County
01,Kenya Commercial Bank Limited,01 162,Kitengela,"Kenya Commercial Bank Limited, Kitengela",34,Kajiado
01,Kenya Commercial Bank Limited,01 345,KCB Mokowe,"Kenya Commercial Bank Limited, KCB Mokowe",05,Lamu
01,Kenya Commercial Bank Limited,01 346,KCB Kendu Bay,"Kenya Commercial Bank Limited, KCB Kendu Bay",43,Homa Bay
01,Kenya Commercial Bank Limited,01 355,KCB SAHL Centre Eastleign Bran,"Kenya Commercial Bank Limited, KCB SAHL Centre Eastleign Bran",47,Nairobi County
01,Kenya Commercial Bank Limited,01 347,KCB Greenwood Mall,"Kenya Commercial Bank Limited, KCB Greenwood Mall",12,Meru
01,Kenya Commercial Bank Limited,01 338,KCB Langata,"Kenya Commercial Bank Limited, KCB Langata",47,Nairobi County
01,Kenya Commercial Bank Limited,01 348,KCB Kamakis,"Kenya Commercial Bank Limited, KCB Kamakis",38,Vihiga
01,Kenya Commercial Bank Limited,01 344,KCB Rumuruti Branch,"Kenya Commercial Bank Limited, KCB Rumuruti Branch",31,Laikipia
01,Kenya Commercial Bank Limited,01 091,Eastleigh,"Kenya Commercial Bank Limited, Eastleigh",47,Nairobi County
01,Kenya Commercial Bank Limited,01 285,Kiserian,"Kenya Commercial Bank Limited, Kiserian",34,Kajiado
01,Kenya Commercial Bank Limited,01 286,Mwembe Tayari,"Kenya Commercial Bank Limited, Mwembe Tayari",01,Mombasa
01,Kenya Commercial Bank Limited,01 342,Imara Daima,"Kenya Commercial Bank Limited, Imara Daima",47,Nairobi County
01,Kenya Commercial Bank Limited,01 343,Takaba Town,"Kenya Commercial Bank Limited, Takaba Town",09,Mandera
01,Kenya Commercial Bank Limited,01 232,Kehancha,"Kenya Commercial Bank Limited, Kehancha",44,Migori
01,Kenya Commercial Bank Limited,01 233,Keroka,"Kenya Commercial Bank Limited, Keroka",46,Nyamira
01,Kenya Commercial Bank Limited,01 234,Kilgoris,"Kenya Commercial Bank Limited, Kilgoris",33,Narok
01,Kenya Commercial Bank Limited,01 235,Kimilili,"Kenya Commercial Bank Limited, Kimilili",39,Bungoma
01,Kenya Commercial Bank Limited,01 236,Litein,"Kenya Commercial Bank Limited, Litein",35,Kericho
01,Kenya Commercial Bank Limited,01 237,Londiani Branch,"Kenya Commercial Bank Limited, Londiani Branch",35,Kericho
01,Kenya Commercial Bank Limited,01 238,Luanda,"Kenya Commercial Bank Limited, Luanda",38,Vihiga
01,Kenya Commercial Bank Limited,01 239,Malaba,"Kenya Commercial Bank Limited, Malaba",40,Busia
01,Kenya Commercial Bank Limited,01 240,Muhoroni,"Kenya Commercial Bank Limited, Muhoroni",42,Kisumu
01,Kenya Commercial Bank Limited,01 241,Oyugis,"Kenya Commercial Bank Limited, Oyugis",43,Homa Bay
01,Kenya Commercial Bank Limited,01 189,Sotik,"Kenya Commercial Bank Limited, Sotik",36,Bomet
01,Kenya Commercial Bank Limited,01 190,Naivasha,"Kenya Commercial Bank Limited, Naivasha",32,Nakuru
01,Kenya Commercial Bank Limited,01 191,Kisii,"Kenya Commercial Bank Limited, Kisii",45,Kisii
01,Kenya Commercial Bank Limited,01 192,Migori,"Kenya Commercial Bank Limited, Migori",44,Migori
01,Kenya Commercial Bank Limited,01 193,Githunguri,"Kenya Commercial Bank Limited, Githunguri",22,Kiambu
01,Kenya Commercial Bank Limited,01 194,Machakos,"Kenya Commercial Bank Limited, Machakos",16,Machakos
01,Kenya Commercial Bank Limited,01 195,Kerugoya,"Kenya Commercial Bank Limited, Kerugoya",20,Kirinyaga
01,Kenya Commercial Bank Limited,01 196,Chuka,"Kenya Commercial Bank Limited, Chuka",13,Tharaka-Nithi
01,Kenya Commercial Bank Limited,01 197,Bungoma,"Kenya Commercial Bank Limited, Bungoma",39,Bungoma
01,Kenya Commercial Bank Limited,01 198,Wundanyi,"Kenya Commercial Bank Limited, Wundanyi",06,Taita Taveta
01,Kenya Commercial Bank Limited,01 199,Malindi,"Kenya Commercial Bank Limited, Malindi",03,Kilifi
01,Kenya Commercial Bank Limited,01 201,Capital Hill,"Kenya Commercial Bank Limited, Capital Hill",47,Nairobi County
01,Kenya Commercial Bank Limited,01 202,Karen,"Kenya Commercial Bank Limited, Karen",47,Nairobi County
01,Kenya Commercial Bank Limited,01 203,Lokichogio,"Kenya Commercial Bank Limited, Lokichogio",47,Nairobi County
01,Kenya Commercial Bank Limited,01 204,Gateway Msa Road,"Kenya Commercial Bank Limited, Gateway Msa Road",47,Nairobi County
01,Kenya Commercial Bank Limited,01 205,Buruburu,"Kenya Commercial Bank Limited, Buruburu",47,Nairobi County
01,Kenya Commercial Bank Limited,01 206,Chogoria,"Kenya Commercial Bank Limited, Chogoria",13,Tharaka-Nithi
01,Kenya Commercial Bank Limited,01 207,Kangare,"Kenya Commercial Bank Limited, Kangare",21,Murang'a
01,Kenya Commercial Bank Limited,01 208,Kianyaga,"Kenya Commercial Bank Limited, Kianyaga",20,Kirinyaga
01,Kenya Commercial Bank Limited,01 209,Nkubu,"Kenya Commercial Bank Limited, Nkubu",12,Meru
01,Kenya Commercial Bank Limited,01 210,Ol Kalou,"Kenya Commercial Bank Limited, Ol Kalou",18,Nyandarua
01,Kenya Commercial Bank Limited,01 211,Makuyu,"Kenya Commercial Bank Limited, Makuyu",21,Murang'a
01,Kenya Commercial Bank Limited,01 212,Mwea,"Kenya Commercial Bank Limited, Mwea",20,Kirinyaga
01,Kenya Commercial Bank Limited,01 213,Njambini,"Kenya Commercial Bank Limited, Njambini",18,Nyandarua
01,Kenya Commercial Bank Limited,01 333,Kakuma Branch,"Kenya Commercial Bank Limited, Kakuma Branch",23,Turkana
01,Kenya Commercial Bank Limited,01 334,KCB Parklands,"Kenya Commercial Bank Limited, KCB Parklands",47,Nairobi County
01,Kenya Commercial Bank Limited,01 335,KCB Diani,"Kenya Commercial Bank Limited, KCB Diani",02,Kwale
01,Kenya Commercial Bank Limited,01 336,KCB Eldoret Advantage Branch,"Kenya Commercial Bank Limited, KCB Eldoret Advantage Branch",27,Uasin Gishu
01,Kenya Commercial Bank Limited,01 092,KCB CPC,"Kenya Commercial Bank Limited, KCB CPC",47,Nairobi County
01,Kenya Commercial Bank Limited,01 094,Head Office,"Kenya Commercial Bank Limited, Head Office",47,Nairobi County
01,Kenya Commercial Bank Limited,01 095,Wote,"Kenya Commercial Bank Limited, Wote",17,Makueni
01,Kenya Commercial Bank Limited,01 096,Head Office Finance,"Kenya Commercial Bank Limited, Head Office Finance",47,Nairobi County
01,Kenya Commercial Bank Limited,01 100,Moi Avenue Nairobi,"Kenya Commercial Bank Limited, Moi Avenue Nairobi",47,Nairobi County
01,Kenya Commercial Bank Limited,01 101,Kipande House,"Kenya Commercial Bank Limited, Kipande House",47,Nairobi County
01,Kenya Commercial Bank Limited,01 102,Treasury Sq Mombasa,"Kenya Commercial Bank Limited, Treasury Sq Mombasa",01,Mombasa
01,Kenya Commercial Bank Limited,01 103,Nakuru,"Kenya Commercial Bank Limited, Nakuru",32,Nakuru
01,Kenya Commercial Bank Limited,01 104,Kicc,"Kenya Commercial Bank Limited, Kicc",47,Nairobi County
01,Kenya Commercial Bank Limited,01 105,Kisumu,"Kenya Commercial Bank Limited, Kisumu",42,Kisumu
01,Kenya Commercial Bank Limited,01 106,Kericho,"Kenya Commercial Bank Limited, Kericho",35,Kericho
01,Kenya Commercial Bank Limited,01 107,Tom Mboya,"Kenya Commercial Bank Limited, Tom Mboya",47,Nairobi County
01,Kenya Commercial Bank Limited,01 108,Thika,"Kenya Commercial Bank Limited, Thika",22,Kiambu
01,Kenya Commercial Bank Limited,01 109,Eldoret,"Kenya Commercial Bank Limited, Eldoret",27,Uasin Gishu
01,Kenya Commercial Bank Limited,01 110,Kakamega,"Kenya Commercial Bank Limited, Kakamega",37,Kakamega
01,Kenya Commercial Bank Limited,01 111,Kilindini Mombasa,"Kenya Commercial Bank Limited, Kilindini Mombasa",01,Mombasa
01,Kenya Commercial Bank Limited,01 112,Nyeri,"Kenya Commercial Bank Limited, Nyeri",19,Nyeri
01,Kenya Commercial Bank Limited,01 113,Industrial Area Nairobi,"Kenya Commercial Bank Limited, Industrial Area Nairobi",47,Nairobi County
01,Kenya Commercial Bank Limited,01 114,River Road,"Kenya Commercial Bank Limited, River Road",47,Nairobi County
01,Kenya Commercial Bank Limited,01 115,Muranga,"Kenya Commercial Bank Limited, Muranga",21,Murang'a
01,Kenya Commercial Bank Limited,01 116,Embu,"Kenya Commercial Bank Limited, Embu",14,Embu
01,Kenya Commercial Bank Limited,01 117,Kangema,"Kenya Commercial Bank Limited, Kangema",21,Murang'a
01,Kenya Commercial Bank Limited,01 119,Kiambu,"Kenya Commercial Bank Limited, Kiambu",22,Kiambu
01,Kenya Commercial Bank Limited,01 120,Karatina,"Kenya Commercial Bank Limited, Karatina",19,Nyeri
01,Kenya Commercial Bank Limited,01 121,Siaya,"Kenya Commercial Bank Limited, Siaya",41,Siaya
01,Kenya Commercial Bank Limited,01 122,Nyahururu,"Kenya Commercial Bank Limited, Nyahururu",31,Laikipia
01,Kenya Commercial Bank Limited,01 123,Meru,"Kenya Commercial Bank Limited, Meru",12,Meru
01,Kenya Commercial Bank Limited,01 173,Lamu,"Kenya Commercial Bank Limited, Lamu",05,Lamu
01,Kenya Commercial Bank Limited,01 174,Kilifi,"Kenya Commercial Bank Limited, Kilifi",03,Kilifi
01,Kenya Commercial Bank Limited,01 175,Milimani,"Kenya Commercial Bank Limited, Milimani",47,Nairobi County
01,Kenya Commercial Bank Limited,01 176,Nyamira,"Kenya Commercial Bank Limited, Nyamira",46,Nyamira
01,Kenya Commercial Bank Limited,01 177,Mukuruweini,"Kenya Commercial Bank Limited, Mukuruweini",19,Nyeri
01,Kenya Commercial Bank Limited,01 180,Village Market,"Kenya Commercial Bank Limited, Village Market",47,Nairobi County
01,Kenya Commercial Bank Limited,01 181,Bomet,"Kenya Commercial Bank Limited, Bomet",36,Bomet
01,Kenya Commercial Bank Limited,01 183,Mbale,"Kenya Commercial Bank Limited, Mbale",38,Vihiga
01,Kenya Commercial Bank Limited,01 184,Narok,"Kenya Commercial Bank Limited, Narok",33,Narok
02,Standard Chartered Bank Kenya Ltd,02 090,Bungoma,"Standard Chartered Bank Kenya Ltd, Bungoma",47,Nairobi County
02,Standard Chartered Bank Kenya Ltd,02 091,Thika Road Mall,"Standard Chartered Bank Kenya Ltd, Thika Road Mall",47,Nairobi County
02,Standard Chartered Bank Kenya Ltd,02 092,UN Gigiri,"Standard Chartered Bank Kenya Ltd, UN Gigiri",47,Nairobi County
02,Standard Chartered Bank Kenya Ltd,02 000,Eldoret,"Standard Chartered Bank Kenya Ltd, Eldoret",27,Uasin Gishu
02,Standard Chartered Bank Kenya Ltd,02 001,Kericho,"Standard Chartered Bank Kenya Ltd, Kericho",35,Kericho
02,Standard Chartered Bank Kenya Ltd,02 002,Kisumu,"Standard Chartered Bank Kenya Ltd, Kisumu",42,Kisumu
02,Standard Chartered Bank Kenya Ltd,02 003,Kitale,"Standard Chartered Bank Kenya Ltd, Kitale",26,Trans-Nzoia
02,Standard Chartered Bank Kenya Ltd,02 004,Treasury Square,"Standard Chartered Bank Kenya Ltd, Treasury Square",01,Mombasa
02,Standard Chartered Bank Kenya Ltd,02 005,Kilindini,"Standard Chartered Bank Kenya Ltd, Kilindini",01,Mombasa
02,Standard Chartered Bank Kenya Ltd,02 006,Kenyatta Avenue,"Standard Chartered Bank Kenya Ltd, Kenyatta Avenue",47,Nairobi County
02,Standard Chartered Bank Kenya Ltd,02 008,Moi Avenue,"Standard Chartered Bank Kenya Ltd, Moi Avenue",47,Nairobi County
02,Standard Chartered Bank Kenya Ltd,02 009,Nakuru,"Standard Chartered Bank Kenya Ltd, Nakuru",32,Nakuru
02,Standard Chartered Bank Kenya Ltd,02 010,Nanyuki,"Standard Chartered Bank Kenya Ltd, Nanyuki",31,Laikipia
